,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
,,,,,,,,,,,,,,,,,,,,
4,AIRPORT JFK,31 COMMERCIAL VACANT LAND,4,14260,80,,E1,N/A ROCKAWAY BLVD,,11434,0,1,1,"268,092",0,2023,4,V7,0,10/25/23
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,25,,A5,19-30 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,"780,000",7/28/23
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,27,,A5,19-34 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,"820,000",6/15/23
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,38,,A5,19-56 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,0,5/23/23
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,,A5,19-62 81 STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,"725,000",10/16/23
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,43,,A5,19-66 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,"820,000",5/26/23
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,35,,A5,2160 81ST STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,0,12/31/23
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,41,,A5,2161 80 STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,0,3/15/23
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1013,,R2,"19-47 80TH STREET, 1",1,11370,1,,1,,,,2,R2,"575,311",11/28/23
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1021,,R2,"19-13 80TH STREET, 1",1,11370,1,,1,,,,2,R2,"529,000",8/29/23
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1032,,R2,"80-16 19TH AVENUE, B-2",2,11370,1,,1,,,,2,R2,"400,000",3/27/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,40-10 ROCKAWAY BEACH BLVD,,11691,1,0,1,"1,594",482,1920,1,A6,0,1/30/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,49,,A6,339 BEACH 43 STREET,,11691,1,0,1,"5,137","1,044",1920,1,A6,"725,000",7/28/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,59,,A2,355 BEACH 44 STREET,,11691,1,0,1,"3,431",971,1920,1,A2,0,6/16/23
